#FILE	NUM_FOUND	AAC(3)-IId	AAC(3)-IIe	AAC(3)-IV	AAC(3)-VIa	AAC(6')-Ib-cr	AAC(6')-Ib10	ANT(3'')-IIa	APH(3'')-Ib	APH(3')-IIa	APH(3')-Ia	APH(4)-Ia	APH(6)-Id	CMY-59	CRP	CTX-M-14	CTX-M-15	CTX-M-55	Erm(42)	ErmB	Escherichia_coli_acrA	Escherichia_coli_ampC	Escherichia_coli_ampC1_beta-lactamase	Escherichia_coli_ampH	Escherichia_coli_emrE	Escherichia_coli_mdfA	FosA3	H-NS	KPC-3	MCR-1	NDM-1	NDM-5	OXA-1	QnrB5	QnrS1	SAT-1	SHV-134	TEM-1	TEM-150	Tet(X4)	aadA2	aadA22	aadA5	acrB	acrD	acrE	acrF	acrS	arr-3	bacA	baeR	baeS	catB3	catI	cmlA1	cmlA6	cpxA	determinant_of_bleomycin_resistance	dfrA1	dfrA12	dfrA14	dfrA17	dfrA5	emrA	emrB	emrK	emrR	emrY	eptA	evgA	evgS	floR	gadW	gadX	kdpE	linG	lnuG	marA	mdtA	mdtB	mdtC	mdtE	mdtF	mdtG	mdtH	mdtM	mdtN	mdtO	mdtP	mefB	mphA	mphB	msbA	pmrF	qacH	rmtC	sul1	sul2	sul3	tet(A)	tet(B)	tetM	tolC	ugd	yojI
GCA_023516095.1.fna_Res	57	.	.	.	.	.	.	99.07	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	100	.	100	100	.	.	100	.	.	100	100	100	100	100	.	99.76	100	100	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	99.26	92.58	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	99.58	100	100	100	.	.	.	100	100.00;97.80	.	100	100	.	100
GCA_023516115.1.fna_Res	57	.	.	.	.	.	.	99.59	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100.00;100.00	.	.	100.00;100.00	.	100	100	.	.	100	100	100	100	100	.	100	100	100	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	100	100	100	100	100	100	.	100	100	.	.	99.58	100	100	100	.	.	.	100	97.8	.	.	100	100	100
GCA_023516135.1.fna_Res	48	.	.	.	.	.	.	99.07	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	.	100	100	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	.	92.58	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	99.58	100	100	.	.	.	.	.	100	.	.	100	.	100
GCA_028922145.1.fna_Res	58	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	100	.	.	.	100.00;100.00	99.87;99.87	100	100.00;100.00	100	100	.	100	.	100	.	.	.	100.00;100.00	.	.	100.00;100.00	.	.	100.00;100.00	.	100.00;100.00	.	97.98;100.00	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	100.00;100.00	.	.	.	.	.	100	100	100	100	100	100	100	100	100.00;100.00	100	100	100	.	100.00;100.00	100	99.52	100	100	100	100	100	100	100	100	100	100	.	99.67;99.67	100	100	100	.	.	.	100.00;100.00	.	.	.	100.00;100.00	100	.	100
GCA_029194705.1.fna_Res	57	100	.	.	.	.	.	.	.	.	99.75	.	.	.	100	.	100	.	.	.	100	100	100	100	100	100	.	100	.	.	.	100	.	.	.	.	.	.	.	.	100.00;100.00	.	.	100	100	100	100	100	.	100	100	100	.	.	100	.	100	100	.	100	.	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	99.67	100	100	100	100	.	100	.	100	.	.	.	100	.	100
GCA_029194845.1.fna_Res	55	.	.	.	.	.	93.3	.	.	.	.	.	.	100	100	.	100	.	.	99.87	100	100	100	100	.	100	.	100	.	.	100	.	.	.	100	.	.	.	.	.	100	.	.	100	100	.	100	.	.	100	99.86	100	.	.	.	.	100	100	.	100	.	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	99.67	100	100	100	.	100	100.00;100.00	.	.	97.8	.	.	100	.	100
GCA_029194865.1.fna_Res	56	.	.	.	.	100	.	.	100	.	.	.	100	.	100	.	100	.	.	.	100	100	100	100	100	100	.	100	.	.	.	100	100	.	.	.	.	.	.	.	.	.	100	100	100	.	100	.	.	99.76	100	100	.	100	.	.	100	100	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	.	99.67	100	100	100	.	.	100	100	.	97.8	.	.	100	.	100
GCA_034365465.1.fna_Res	59	.	.	100	.	.	.	.	100	.	99.75	100	100	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	.	100	100	100	100	100	100	100	.	99.76	100	100	.	.	.	.	100	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	.	.	100	100	.	97.8	.	.	100	.	100
GCA_034365485.1.fna_Res	55	100	.	.	.	.	.	99.59	.	.	.	.	.	.	100	.	.	.	.	.	100	100	99.92	100	.	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	.	.	100	100	100	100	100	100	.	100	100	100	.	.	.	.	100	.	.	.	.	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	.	.	.	.	.	100	.	.	100	100	100
GCA_034365505.1.fna_Res	55	.	.	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	.	100	100	100	.	.	100	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	92.58	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	.	.	.	100	.	.	.	100	100	100
GCA_034365565.1.fna_Res	51	.	.	.	.	.	.	99.59	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	.	.	.	100	100	100	100	100	.	99.76	100	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	99.26	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	.	.	.	.	.	.	.	.	100	.	100
GCA_034365585.1.fna_Res	51	.	.	.	.	.	.	99.59	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	.	.	.	100	100	100	100	100	.	100	100	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	99.58	100	100	.	.	.	.	.	97.8	.	.	100	.	100
GCA_034365605.1.fna_Res	51	.	.	.	.	.	.	99.59	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	.	.	.	100	99.97	100	100	100	.	100	100	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	99	100	100	.	100	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	99.58	100	100	.	.	.	.	.	.	.	.	100	100	100
GCA_034365625.1.fna_Res	55	.	.	.	.	.	.	.	100	.	.	.	100	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	100	.	100	100	.	.	100	100	.	.	94.12	.	100	100	100	.	.	100	.	100	.	.	100	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	100	100	100	100	.	.	100	.	97.8	.	100	100	.	100
GCA_034365645.1.fna_Res	55	.	.	.	.	.	.	.	100	.	.	.	100	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	100	.	100	100	.	.	100	100	.	.	94.12	.	100	100	100	.	.	100	.	100	.	.	100	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	100	100	100	100	.	.	100	.	97.8	.	100	100	.	100
562.22428.fna_Sus	43	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	99.77	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	100	100
562.22429.fna_Sus	47	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	100	.	.	100	.	.	.	.	100	100	.	100	100	.	100	100	100	.	.	.	.	100	.	100	.	.	.	.	100	100	100	100	94.22	100	100	100	.	100	100	100	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	100	100	100	.	.	.	.	.	97.8	.	.	100	.	100
562.22430.fna_Sus	43	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	99.56	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	100	100
562.22431.fna_Sus	47	.	.	.	.	.	.	.	100	.	.	.	100	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	.	100	100	100	.	100	.	.	100	.	.	.	.	100	.	.	98.44	100	.	99.48	.	100	100	.	100	100	100	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	100	100	100	.	.	.	.	.	.	100	.	100	.	100
562.22432.fna_Sus	54	.	.	.	.	100	.	.	.	.	.	.	.	.	100	.	100	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	100	100	.	.	99.56	.	.	.	.	100	.	100	100	100	100	100	100	100	.	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	100	100	.	.	100	.	.	.	100	.	100	100	100
562.22433.fna_Sus	44	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	100	100
562.22434.fna_Sus	54	.	.	.	.	.	.	.	100	.	99.75	.	100	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	99.58	100	100	.	.	100	100	.	.	100	.	100	100	100
562.22435.fna_Sus	54	.	.	.	.	.	.	.	100	.	.	.	100	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	99.71	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	.	.	100	100	.	.	100	.	100	100	100
562.22436.fna_Sus	46	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	.	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	100	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.71	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	99.58	100	100	.	.	.	.	.	.	.	.	100	100	100
562.22437.fna_Sus	51	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	100	.	.	100	100	100	99.77	100	.	99.76	99.86	100	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	100	100	100	.	.	.	100	97.8	.	.	100	100	100
562.22438.fna_Sus	44	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	99.56	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	.	.	.	.	.	.	100	.	100	100	100
562.22439.fna_Sus	43	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	100	100
562.22440.fna_Sus	49	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	99.56	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	100	100	.	.	100	.	.	.	.	.	100	100	100
562.22441.fna_Sus	46	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	100	100	.	.	.	.	.	.	100	.	100	100	100
562.22442.fna_Sus	50	.	.	.	.	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	100	.	.	.	99.56	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	100	100	.	.	100	.	.	.	.	.	100	100	100
562.22443.fna_Sus	47	.	.	.	.	.	.	.	.	.	.	.	100	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	100	.	.	100	100	100	100	100	100	100	.	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	.	.	100	100	.	.	.	.	100	100	100
562.22444.fna_Sus	43	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	100	100
562.22445.fna_Sus	46	100	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100.00;100.00	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	100	100
562.22446.fna_Sus	42	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	.	100
562.22447.fna_Sus	50	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	.	100	.	.	100	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	.	100	100	.	.	100	.	.	.	100	.	100	100	100
562.22448.fna_Sus	44	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	100	100	.	.	.	.	.	.	.	.	100	100	100
1328432.3.fna_Sus	46	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	99.76	100	100	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.71	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	.	.	.	.	.	.	.	.	100	100	100
1328433.3.fna_Sus	52	.	.	.	.	.	.	.	100	.	.	.	100	.	100	.	.	.	.	.	100	100	.	100	100	100	.	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	99.56	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	100	100	.	.	100	100	.	97.8	.	.	100	100	100
1328434.3.fna_Sus	56	.	.	.	.	.	.	.	100	.	.	.	100	.	100	.	100	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	.	.	.	.	100	.	.	.	.	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	100	100	100	100	.	100	100	100	.	100	99.58	100	100	.	.	100	100	.	100	100	.	100	100	100
1438684.3.fna_Sus	51	.	100	.	.	.	.	.	.	.	.	.	.	.	100	.	100	.	.	.	100	100	.	100	100	100	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	99.76	99.86	100	.	.	.	100	99.56	.	.	.	.	100	.	100	100	100	100	100	100	100	100	.	.	.	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	100	100	.	.	100	.	.	97.80;97.80	.	.	100	100	100
