#FILE	NUM_FOUND	AAC(3)-IId	AAC(3)-IIe	AAC(3)-Ia	AAC(6')-Ian	AAC(6')-Ib7	ADC-10	ADC-25	ADC-30	ADC-56	ADC-6	ADC-74	ADC-76	ADC-79	ANT(2'')-Ia	APH(3'')-Ib	APH(3')-Ia	APH(3')-VI	APH(3')-VIa	APH(6)-Id	Acinetobacter_baumannii_AbaF	Acinetobacter_baumannii_AbaQ	Acinetobacter_baumannii_AmvA	CARB-3	CARB-4	CMY-59	OXA-115	OXA-23	OXA-237	OXA-24	OXA-58	OXA-65	OXA-66	OXA-68	OXA-69	OXA-71	TEM-1	TEM-12	abeM	abeS	adeA	adeB	adeC	adeF	adeG	adeH	adeI	adeJ	adeK	adeL	adeN	adeR	adeS	armA	catB3	catB8	catI	dfrA16	floR	mphE	msrE	sul1	sul2	tet(39)	tet(A)	tet(B)
470.1322.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1323.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1324.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1326.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1327.fna.tab	31	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1328.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1329.fna.tab	26	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	.	.	.	.	.	.	.	.	.	100.00	.	.	99.50
470.1330.fna.tab	30	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1331.fna.tab	30	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1548.fna.tab	27	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	98.99	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.
470.1549.fna.tab	27	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	98.99	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.
470.1550.fna.tab	27	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	98.99	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.
470.1551.fna.tab	27	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	98.99	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.
470.1552.fna.tab	27	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	98.99	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.
470.1553.fna.tab	27	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	98.99	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.
470.1554.fna.tab	27	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	98.99	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.
470.1555.fna.tab	25	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	100.00	.
470.1556.fna.tab	25	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	100.00	.
470.1557.fna.tab	23	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	100.00	.	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.
470.1558.fna.tab	25	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	100.00	100.00	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	100.00	.
470.7434.fna.tab	26	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	100.00	.	.	.	99.50
470.7440.fna.tab	25	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	97.80	.
470.7448.fna.tab	26	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	100.00	.	.	.	99.50
470.7465.fna.tab	25	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	97.80	.
470.7476.fna.tab	27	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	.	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	100.00	.	.	.	.	100.00	100.00	.	.	99.50
470.8024.fna.tab	26	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	100.00	.	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.
470.8030.fna.tab	26	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	100.00	.	.	.	99.50
470.8033.fna.tab	26	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	100.00	.	.	.	99.50
470.8034.fna.tab	26	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	100.00	.	.	.	99.50
470.8035.fna.tab	24	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	97.80	.
470.8036.fna.tab	26	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	100.00	.	.	.	99.50
470.8042.fna.tab	26	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	100.00	.	.	.	99.50
470.8051.fna.tab	24	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	97.80	.
470.8057.fna.tab	24	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	97.80	.
470.8077.fna.tab	23	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	.	.	.	100.00	.	.	.
